gene_id	union_exon_bases	scored_exonic_bases	unique_exonic_bases	fraction_exonic_bases_scored	fraction_unique_mappability	mappability_status	overlapping_gene_count	overlapping_genes	unique_gene_model_status	uniform_gene_qc_status
LITCHI004971	2058	2058	2058	1.00000000	1.00000000	PASS	1	LITCHI004970	FAIL	FAIL
LITCHI004972	2831	2831	2821	1.00000000	0.99646768	PASS	0		PASS	PASS
LITCHI004973	1664	1664	1587	1.00000000	0.95372596	PASS	0		PASS	PASS
LITCHI004974	513	513	513	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004975	2863	2863	2786	1.00000000	0.97310513	PASS	0		PASS	PASS
LITCHI004976	3869	3869	3869	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004977	7861	7861	7861	1.00000000	1.00000000	PASS	3	LITCHI004978;LITCHI004979;LITCHI004980	FAIL	FAIL
LITCHI004978	951	951	951	1.00000000	1.00000000	PASS	1	LITCHI004977	FAIL	FAIL
LITCHI004979	321	321	321	1.00000000	1.00000000	PASS	1	LITCHI004977	FAIL	FAIL
LITCHI004980	853	853	853	1.00000000	1.00000000	PASS	1	LITCHI004977	FAIL	FAIL
LITCHI004981	4580	4580	4580	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004982	3349	3349	3349	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004983	456	456	456	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004984	3256	3256	3256	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004985	2980	2980	2980	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004986	2482	2482	2246	1.00000000	0.90491539	PASS	0		PASS	PASS
LITCHI004987	3956	3956	3951	1.00000000	0.99873610	PASS	0		PASS	PASS
LITCHI004988	2172	2172	2172	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004989	626	626	626	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004990	3312	3312	3312	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004991	2372	2372	2372	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004992	330	330	330	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004993	940	940	932	1.00000000	0.99148936	PASS	0		PASS	PASS
LITCHI004994	471	471	471	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004995	1986	1986	1683	1.00000000	0.84743202	PASS	0		PASS	PASS
LITCHI004996	345	345	345	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004997	1203	1203	1203	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI004998	2112	2112	2104	1.00000000	0.99621212	PASS	0		PASS	PASS
LITCHI004999	946	946	946	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005000	756	756	756	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005001	1080	1080	1080	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005002	315	315	190	1.00000000	0.60317460	FAIL	0		PASS	FAIL
LITCHI005003	636	636	616	1.00000000	0.96855346	PASS	0		PASS	PASS
LITCHI005004	675	675	671	1.00000000	0.99407407	PASS	0		PASS	PASS
LITCHI005005	1283	1283	1089	1.00000000	0.84879189	PASS	0		PASS	PASS
LITCHI005006	1364	1364	1353	1.00000000	0.99193548	PASS	0		PASS	PASS
LITCHI005007	3159	3159	3159	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005008	2428	2428	2428	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005009	6529	6529	6529	1.00000000	1.00000000	PASS	2	LITCHI005010;LITCHI005011	FAIL	FAIL
LITCHI005010	5215	5215	5215	1.00000000	1.00000000	PASS	1	LITCHI005009	FAIL	FAIL
LITCHI005011	2629	2629	2629	1.00000000	1.00000000	PASS	1	LITCHI005009	FAIL	FAIL
LITCHI005012	4017	4017	4017	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005013	1581	1581	1581	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005014	2870	2870	2870	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005015	2211	2211	2211	1.00000000	1.00000000	PASS	2	LITCHI005016;LITCHI005017	FAIL	FAIL
LITCHI005016	3918	3918	3918	1.00000000	1.00000000	PASS	1	LITCHI005015	FAIL	FAIL
LITCHI005017	741	741	741	1.00000000	1.00000000	PASS	1	LITCHI005015	FAIL	FAIL
LITCHI005018	2277	2277	2099	1.00000000	0.92182697	PASS	0		PASS	PASS
LITCHI005019	1392	1392	1392	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005020	2995	2995	2995	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005021	1854	1854	1854	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005022	2056	2056	2056	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005023	2206	2206	2206	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005024	2398	2398	2398	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005025	2803	2803	2803	1.00000000	1.00000000	PASS	1	LITCHI005026	FAIL	FAIL
LITCHI005026	2980	2980	2980	1.00000000	1.00000000	PASS	1	LITCHI005025	FAIL	FAIL
LITCHI005027	1981	1981	1981	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005028	1123	1123	1123	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005029	5105	5105	5105	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005030	3353	3353	3353	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005031	2835	2835	2835	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005032	1733	1733	1733	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005033	1329	1329	1232	1.00000000	0.92701279	PASS	0		PASS	PASS
LITCHI005034	333	333	333	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005035	6987	6987	6695	1.00000000	0.95820810	PASS	0		PASS	PASS
LITCHI005036	1882	1882	1882	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005037	2880	2880	2880	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005038	771	771	771	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005039	1684	1684	1684	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005040	4018	4018	4018	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005041	2873	2873	2873	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005042	3013	3013	3013	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005043	3289	3289	3289	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005044	5120	5120	5120	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005045	1255	1255	1255	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005046	2625	2625	2625	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005047	4739	4739	4739	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005048	4711	4711	4711	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005049	5998	5998	5998	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005050	423	423	270	1.00000000	0.63829787	FAIL	0		PASS	FAIL
LITCHI005051	4847	4847	4847	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005052	5427	5427	5427	1.00000000	1.00000000	PASS	1	LITCHI005053	FAIL	FAIL
LITCHI005053	1857	1857	1857	1.00000000	1.00000000	PASS	1	LITCHI005052	FAIL	FAIL
LITCHI005054	2958	2958	2958	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005055	1116	1116	1116	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005056	1806	1806	1806	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005057	396	396	396	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005058	632	632	632	1.00000000	1.00000000	PASS	1	LITCHI005059	FAIL	FAIL
LITCHI005059	5618	5618	5618	1.00000000	1.00000000	PASS	2	LITCHI005058;LITCHI005060	FAIL	FAIL
LITCHI005060	813	813	813	1.00000000	1.00000000	PASS	1	LITCHI005059	FAIL	FAIL
LITCHI005061	1785	1785	1785	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005062	2594	2594	2594	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005063	3990	3990	3990	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005064	2856	2856	2856	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005065	1196	1196	849	1.00000000	0.70986622	FAIL	0		PASS	FAIL
LITCHI005066	17624	17624	17285	1.00000000	0.98076487	PASS	1	LITCHI005067	FAIL	FAIL
LITCHI005067	2121	2121	2121	1.00000000	1.00000000	PASS	1	LITCHI005066	FAIL	FAIL
LITCHI005068	1113	1113	1113	1.00000000	1.00000000	PASS	1	LITCHI005069	FAIL	FAIL
LITCHI005069	363	363	363	1.00000000	1.00000000	PASS	1	LITCHI005068	FAIL	FAIL
LITCHI005070	1672	1672	1672	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005071	408	408	295	1.00000000	0.72303922	FAIL	0		PASS	FAIL
LITCHI005072	4720	4720	4368	1.00000000	0.92542373	PASS	1	LITCHI005073	FAIL	FAIL
LITCHI005073	1968	1968	1968	1.00000000	1.00000000	PASS	1	LITCHI005072	FAIL	FAIL
LITCHI005074	3017	3017	1553	1.00000000	0.51474975	FAIL	0		PASS	FAIL
LITCHI005075	486	486	486	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005076	2087	2087	2087	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005077	3555	3555	3555	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005078	1415	1415	1415	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005079	6500	6500	6500	1.00000000	1.00000000	PASS	1	LITCHI005080	FAIL	FAIL
LITCHI005080	5871	5871	5871	1.00000000	1.00000000	PASS	2	LITCHI005079;LITCHI005081	FAIL	FAIL
LITCHI005081	756	756	756	1.00000000	1.00000000	PASS	1	LITCHI005080	FAIL	FAIL
LITCHI005082	2103	2103	2103	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005083	1687	1687	1687	1.00000000	1.00000000	PASS	1	LITCHI005084	FAIL	FAIL
LITCHI005084	5418	5418	5418	1.00000000	1.00000000	PASS	2	LITCHI005083;LITCHI005085	FAIL	FAIL
LITCHI005085	264	264	264	1.00000000	1.00000000	PASS	1	LITCHI005084	FAIL	FAIL
LITCHI005086	1324	1324	1324	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005087	267	267	267	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005088	4034	4034	4023	1.00000000	0.99727318	PASS	1	LITCHI005089	FAIL	FAIL
LITCHI005089	2880	2880	2880	1.00000000	1.00000000	PASS	1	LITCHI005088	FAIL	FAIL
LITCHI005090	2903	2903	2903	1.00000000	1.00000000	PASS	1	LITCHI005091	FAIL	FAIL
LITCHI005091	2879	2879	2879	1.00000000	1.00000000	PASS	1	LITCHI005090	FAIL	FAIL
LITCHI005092	7330	7330	7330	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005093	3583	3583	3559	1.00000000	0.99330170	PASS	0		PASS	PASS
LITCHI005094	6111	6111	5887	1.00000000	0.96334479	PASS	0		PASS	PASS
LITCHI005095	258	258	258	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005096	1241	1241	1173	1.00000000	0.94520548	PASS	1	LITCHI005097	FAIL	FAIL
LITCHI005097	927	927	737	1.00000000	0.79503776	FAIL	1	LITCHI005096	FAIL	FAIL
LITCHI005098	5615	5615	5615	1.00000000	1.00000000	PASS	1	LITCHI005099	FAIL	FAIL
LITCHI005099	6372	6372	6372	1.00000000	1.00000000	PASS	1	LITCHI005098	FAIL	FAIL
LITCHI005100	2645	2645	2645	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005101	1640	1640	1640	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005102	2723	2723	2719	1.00000000	0.99853103	PASS	0		PASS	PASS
LITCHI005103	2126	2126	2126	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005104	198	198	198	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005105	2212	2212	2212	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005106	2952	2952	2675	1.00000000	0.90616531	PASS	0		PASS	PASS
LITCHI005107	840	840	694	1.00000000	0.82619048	PASS	0		PASS	PASS
LITCHI005108	2069	2069	1757	1.00000000	0.84920251	PASS	1	LITCHI005109	FAIL	FAIL
LITCHI005109	2998	2998	2782	1.00000000	0.92795197	PASS	2	LITCHI005108;LITCHI005110	FAIL	FAIL
LITCHI005110	366	366	366	1.00000000	1.00000000	PASS	1	LITCHI005109	FAIL	FAIL
LITCHI005111	5870	5870	5870	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005112	3590	3590	832	1.00000000	0.23175487	FAIL	0		PASS	FAIL
LITCHI005113	426	426	0	1.00000000	0.00000000	FAIL	0		PASS	FAIL
LITCHI005114	7812	7812	835	1.00000000	0.10688684	FAIL	2	LITCHI005115;LITCHI005117	FAIL	FAIL
LITCHI005115	351	351	0	1.00000000	0.00000000	FAIL	1	LITCHI005114	FAIL	FAIL
LITCHI005116	2842	2842	251	1.00000000	0.08831809	FAIL	0		PASS	FAIL
LITCHI005117	1142	1142	166	1.00000000	0.14535902	FAIL	1	LITCHI005114	FAIL	FAIL
LITCHI005118	6562	6562	6557	1.00000000	0.99923804	PASS	1	LITCHI005119	FAIL	FAIL
LITCHI005119	7669	7669	7643	1.00000000	0.99660973	PASS	1	LITCHI005118	FAIL	FAIL
LITCHI005120	5636	5636	5636	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005121	1829	1829	1829	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005122	1394	1394	1394	1.00000000	1.00000000	PASS	1	LITCHI005123	FAIL	FAIL
LITCHI005123	5203	5203	5203	1.00000000	1.00000000	PASS	1	LITCHI005122	FAIL	FAIL
LITCHI005124	1623	1623	1623	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005125	1437	1437	1437	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005126	2021	2021	2021	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005127	3667	3667	3667	1.00000000	1.00000000	PASS	1	LITCHI005128	FAIL	FAIL
LITCHI005128	1854	1854	1854	1.00000000	1.00000000	PASS	1	LITCHI005127	FAIL	FAIL
LITCHI005129	2204	2204	2204	1.00000000	1.00000000	PASS	1	LITCHI005130	FAIL	FAIL
LITCHI005130	8603	8603	8603	1.00000000	1.00000000	PASS	1	LITCHI005129	FAIL	FAIL
LITCHI005131	5807	5807	5807	1.00000000	1.00000000	PASS	1	LITCHI005132	FAIL	FAIL
LITCHI005132	4370	4370	4370	1.00000000	1.00000000	PASS	1	LITCHI005131	FAIL	FAIL
LITCHI005133	613	613	551	1.00000000	0.89885808	PASS	0		PASS	PASS
LITCHI005134	570	570	570	1.00000000	1.00000000	PASS	1	LITCHI005135	FAIL	FAIL
LITCHI005135	975	975	965	1.00000000	0.98974359	PASS	1	LITCHI005134	FAIL	FAIL
LITCHI005136	935	935	873	1.00000000	0.93368984	PASS	0		PASS	PASS
LITCHI005137	510	510	510	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005138	3580	3580	3580	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005139	6139	6139	6132	1.00000000	0.99885975	PASS	1	LITCHI005140	FAIL	FAIL
LITCHI005140	874	874	873	1.00000000	0.99885584	PASS	1	LITCHI005139	FAIL	FAIL
LITCHI005141	3341	3341	3341	1.00000000	1.00000000	PASS	1	LITCHI005142	FAIL	FAIL
LITCHI005142	9924	9924	9924	1.00000000	1.00000000	PASS	1	LITCHI005141	FAIL	FAIL
LITCHI005143	2570	2570	2570	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005144	6087	6087	6087	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005145	1621	1621	1621	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005146	1177	1177	1177	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005147	5194	5194	5194	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005148	7371	7371	7188	1.00000000	0.97517298	PASS	0		PASS	PASS
LITCHI005149	2704	2704	2704	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005150	1792	1792	1792	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005151	2328	2328	2328	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005152	8677	8677	8638	1.00000000	0.99550536	PASS	1	LITCHI005153	FAIL	FAIL
LITCHI005153	1491	1491	1491	1.00000000	1.00000000	PASS	1	LITCHI005152	FAIL	FAIL
LITCHI005154	2247	2247	2247	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005155	2850	2850	2843	1.00000000	0.99754386	PASS	0		PASS	PASS
LITCHI005156	3323	3323	3323	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005157	4769	4769	4769	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005158	1121	1121	1121	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005159	189	189	189	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005160	8619	8619	8619	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005161	2411	2411	2411	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005162	1492	1492	1492	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005163	2594	2594	2515	1.00000000	0.96954510	PASS	0		PASS	PASS
LITCHI005164	3551	3551	3551	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005165	1745	1745	1745	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005166	1026	1026	1026	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005167	2265	2265	2265	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005168	1755	1755	1755	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005169	681	681	641	1.00000000	0.94126285	PASS	0		PASS	PASS
LITCHI005170	2511	2511	2471	1.00000000	0.98407009	PASS	1	LITCHI005171	FAIL	FAIL
LITCHI005171	8489	8489	6917	1.00000000	0.81481918	PASS	3	LITCHI005170;LITCHI005172;LITCHI005173	FAIL	FAIL
LITCHI005172	933	933	933	1.00000000	1.00000000	PASS	1	LITCHI005171	FAIL	FAIL
LITCHI005173	1263	1263	365	1.00000000	0.28899446	FAIL	1	LITCHI005171	FAIL	FAIL
LITCHI005174	2943	2943	78	1.00000000	0.02650357	FAIL	0		PASS	FAIL
LITCHI005175	2144	2144	264	1.00000000	0.12313433	FAIL	0		PASS	FAIL
LITCHI005176	2742	2742	2701	1.00000000	0.98504741	PASS	0		PASS	PASS
LITCHI005177	2559	2559	2559	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005178	1795	1795	1795	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005179	1197	1197	1197	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005180	987	987	987	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005181	1484	1484	1484	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005182	2062	2062	2062	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005183	3428	3428	3428	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005184	1121	1121	1121	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005185	6984	6984	6984	1.00000000	1.00000000	PASS	1	LITCHI005186	FAIL	FAIL
LITCHI005186	699	699	699	1.00000000	1.00000000	PASS	1	LITCHI005185	FAIL	FAIL
LITCHI005187	2620	2620	2620	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005188	2358	2358	2358	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005189	1242	1242	1217	1.00000000	0.97987118	PASS	0		PASS	PASS
LITCHI005190	3147	3147	3147	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005191	252	252	252	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005192	873	873	873	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005193	1867	1867	1867	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005194	4359	4359	4359	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005195	2700	2700	2700	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005196	1517	1517	1517	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005197	1930	1930	1930	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005198	3616	3616	3616	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005199	2372	2372	2372	1.00000000	1.00000000	PASS	1	LITCHI005200	FAIL	FAIL
LITCHI005200	4065	4065	4065	1.00000000	1.00000000	PASS	1	LITCHI005199	FAIL	FAIL
LITCHI005201	1044	1044	1044	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005202	2526	2526	2526	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005203	852	852	852	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005204	1027	1027	1027	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005205	5312	5312	1514	1.00000000	0.28501506	FAIL	0		PASS	FAIL
LITCHI005206	2068	2068	299	1.00000000	0.14458414	FAIL	0		PASS	FAIL
LITCHI005207	3658	3624	229	0.99070530	0.06318985	FAIL	0		PASS	FAIL
LITCHI005208	2944	2944	79	1.00000000	0.02683424	FAIL	0		PASS	FAIL
LITCHI005209	2152	2152	186	1.00000000	0.08643123	FAIL	0		PASS	FAIL
LITCHI005210	3941	3934	279	0.99822380	0.07092018	FAIL	0		PASS	FAIL
LITCHI005211	2047	2047	278	1.00000000	0.13580850	FAIL	0		PASS	FAIL
LITCHI005212	3735	3735	1692	1.00000000	0.45301205	FAIL	0		PASS	FAIL
LITCHI005213	1455	1455	1455	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005214	2853	2853	2853	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005215	1236	1236	1236	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005216	2461	2461	2461	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005217	1390	1390	1390	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005218	2564	2564	2564	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005219	507	507	507	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005220	1271	1271	1271	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005221	1380	1380	1380	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005222	3102	3102	2525	1.00000000	0.81399097	PASS	0		PASS	PASS
LITCHI005223	492	492	485	1.00000000	0.98577236	PASS	0		PASS	PASS
LITCHI005224	2714	2714	2150	1.00000000	0.79218865	FAIL	0		PASS	FAIL
LITCHI005225	3438	3438	3438	1.00000000	1.00000000	PASS	1	LITCHI005226	FAIL	FAIL
LITCHI005226	8345	8345	8345	1.00000000	1.00000000	PASS	2	LITCHI005225;LITCHI005227	FAIL	FAIL
LITCHI005227	4359	4359	4359	1.00000000	1.00000000	PASS	1	LITCHI005226	FAIL	FAIL
LITCHI005228	2180	2180	2180	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005229	5345	5345	5345	1.00000000	1.00000000	PASS	1	LITCHI005230	FAIL	FAIL
LITCHI005230	5886	5886	5886	1.00000000	1.00000000	PASS	1	LITCHI005229	FAIL	FAIL
LITCHI005231	3907	3907	3780	1.00000000	0.96749424	PASS	0		PASS	PASS
LITCHI005232	1651	1651	1651	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005233	4811	4811	4811	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005234	1852	1852	1820	1.00000000	0.98272138	PASS	0		PASS	PASS
LITCHI005235	6236	6236	6236	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005236	1161	1161	1161	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005237	6793	6793	6793	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005238	961	961	961	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005239	1290	1290	1290	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005240	5203	5203	5203	1.00000000	1.00000000	PASS	1	LITCHI005241	FAIL	FAIL
LITCHI005241	1008	1008	1008	1.00000000	1.00000000	PASS	1	LITCHI005240	FAIL	FAIL
LITCHI005242	9250	9250	9250	1.00000000	1.00000000	PASS	1	LITCHI005243	FAIL	FAIL
LITCHI005243	2535	2535	2535	1.00000000	1.00000000	PASS	1	LITCHI005242	FAIL	FAIL
LITCHI005244	8370	8370	8329	1.00000000	0.99510155	PASS	2	LITCHI005245;LITCHI005246	FAIL	FAIL
LITCHI005245	6383	6383	6383	1.00000000	1.00000000	PASS	1	LITCHI005244	FAIL	FAIL
LITCHI005246	1459	1459	1459	1.00000000	1.00000000	PASS	1	LITCHI005244	FAIL	FAIL
LITCHI005247	3572	3572	3572	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005248	4776	4776	4776	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005249	1078	1078	1043	1.00000000	0.96753247	PASS	0		PASS	PASS
LITCHI005250	1575	1575	1526	1.00000000	0.96888889	PASS	0		PASS	PASS
LITCHI005251	1807	1807	1779	1.00000000	0.98450470	PASS	0		PASS	PASS
LITCHI005252	1693	1693	1693	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005253	1589	1589	1589	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005254	2523	2523	2523	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005255	5194	5194	5194	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005256	5119	5119	4458	1.00000000	0.87087322	PASS	1	LITCHI005257	FAIL	FAIL
LITCHI005257	2235	2235	1906	1.00000000	0.85279642	PASS	1	LITCHI005256	FAIL	FAIL
LITCHI005258	3541	3541	3541	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005259	558	558	434	1.00000000	0.77777778	FAIL	0		PASS	FAIL
LITCHI005260	792	792	678	1.00000000	0.85606061	PASS	0		PASS	PASS
LITCHI005261	1875	1875	1664	1.00000000	0.88746667	PASS	0		PASS	PASS
LITCHI005262	1542	1542	1512	1.00000000	0.98054475	PASS	0		PASS	PASS
LITCHI005263	348	348	240	1.00000000	0.68965517	FAIL	0		PASS	FAIL
LITCHI005264	270	270	270	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005265	1008	1008	882	1.00000000	0.87500000	PASS	0		PASS	PASS
LITCHI005266	1305	1305	1201	1.00000000	0.92030651	PASS	0		PASS	PASS
LITCHI005267	285	285	265	1.00000000	0.92982456	PASS	0		PASS	PASS
LITCHI005268	3889	3889	3754	1.00000000	0.96528671	PASS	1	LITCHI005269	FAIL	FAIL
LITCHI005269	2811	2811	2618	1.00000000	0.93134116	PASS	1	LITCHI005268	FAIL	FAIL
LITCHI005270	5302	5302	4927	1.00000000	0.92927197	PASS	1	LITCHI005271	FAIL	FAIL
LITCHI005271	2577	2577	2263	1.00000000	0.87815289	PASS	1	LITCHI005270	FAIL	FAIL
LITCHI005272	210	210	210	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI005273	663	663	525	1.00000000	0.79185520	FAIL	0		PASS	FAIL
