gene_id	canonical_transcript_id	protein_length	protein_md5	swissprot_accession	swissprot_description	swissprot_query_coverage	rice_ortholog_accession	rice_query_coverage	pfam_accessions	interpro_accessions	architecture_union_coverage	interpro_status	swissprot_evidence_pass	rice_rbh_evidence_pass	interpro_pfam_evidence_pass	annotation_evidence_classes	annotation_evidence_class_count	maximum_supported_sequence_coverage	architecture_conflict_status	high_confidence_annotation	reported_function	annotation_status	annotation_failure
LITCHI012432	LITCHI012432.m1	469	fa4f68f84cc087f71b64fd97d1bf37a0	Q9ASW3	Protein IQ-DOMAIN 21	0.9957356076759062					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9957356076759062	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Protein IQ-DOMAIN 21	FAMILY_LEVEL_FUNCTION	False
LITCHI012815	LITCHI012815.m1	229	748157be25750fd8af1f254c690a92b8								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI013088	LITCHI013088.m1	441	840fddc61e132f079bd0af8710a459a1	Q9T081	UDP-glycosyltransferase 79B3	0.9841269841269841					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9841269841269841	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	UDP-glycosyltransferase 79B3	FAMILY_LEVEL_FUNCTION	False
LITCHI013276	LITCHI013276.m1	118	e9d511f619d8d9b92e120dfeae517199	Q9LSQ6	Calcium-binding protein PBP1	0.7796610169491526					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7796610169491526	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Calcium-binding protein PBP1	FAMILY_LEVEL_FUNCTION	False
LITCHI013379	LITCHI013379.m1	83	c7917ba1fd226be08204c3e6398cb0d8								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI013895	LITCHI013895.m1	255	8fd9b6b2e2640d78638f6192742693b9	Q9SXS8	Ethylene-responsive transcription factor 3	1.0235294117647058					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0235294117647058	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Ethylene-responsive transcription factor 3	FAMILY_LEVEL_FUNCTION	False
LITCHI013915	LITCHI013915.m1	900	7cccb15b38dd51abfb43b4071c7af416	D2WL32	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic	1.0044444444444445	Q5VN31	0.92			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0044444444444445	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI013925	LITCHI013925.m1	591	7ffe26f96674c860e335a3e756b6f257	Q9SZ30	Imidazole glycerol phosphate synthase hisHF, chloroplastic	1.0	Q10NW0	0.922			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Imidazole glycerol phosphate synthase hisHF, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI014256	LITCHI014256.m1	489	59c3568b06f4d09085877931064e1204	Q9SQU6	Pentatricopeptide repeat-containing protein At3g06430, chloroplastic	0.9856850715746421	Q10MG3	0.861			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9856850715746421	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At3g06430, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI014400	LITCHI014400.m1	97	fb58bd2c7d2df8c8a1435b599f99ac49								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI014480	LITCHI014480.m1	1311	5b5f8939d69b9b7526babf4f00e033c5	C6L7U1	Putative E3 ubiquitin-protein ligase LIN-1	0.6422578184591915	A0A0P0WLE2	0.744			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.744	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Putative E3 ubiquitin-protein ligase LIN-1	FAMILY_LEVEL_FUNCTION	False
LITCHI014613	LITCHI014613.m1	486	ed04f5868380c97530bd049d047f21d4	Q8LBI9	Sugar transporter ERD6-like 16	0.9958847736625515	A0A0P0Y4V5	0.909			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9958847736625515	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Sugar transporter ERD6-like 16	FAMILY_LEVEL_FUNCTION	False
LITCHI014624	LITCHI014624.m1	196	baf1b7f474e3be3b3cf015542b8f4fbc								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI014759	LITCHI014759.m2	694	4e1ee7788d1d07d27d8f5129e3d1a8c7	Q8LPS1	Long chain acyl-CoA synthetase 6, peroxisomal	0.984149855907781	Q2QXT1	0.981			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.984149855907781	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Long chain acyl-CoA synthetase 6, peroxisomal	FAMILY_LEVEL_FUNCTION	False
LITCHI014813	LITCHI014813.m1	683	b3c4375a46ac3ae3a914e1b05238bb62	Q0WSH6	Pentatricopeptide repeat-containing protein At4g14850	1.0087847730600292	Q2R217	0.993			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0087847730600292	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At4g14850	FAMILY_LEVEL_FUNCTION	False
LITCHI014858	LITCHI014858.m1	339	b758325df7ef1e77f6e2addb37b8e816	Q8LAX0	Homocysteine S-methyltransferase 3	0.9646017699115044					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9646017699115044	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Homocysteine S-methyltransferase 3	FAMILY_LEVEL_FUNCTION	False
LITCHI014914	LITCHI014914.m1	502	d79489bc4c9fdc20b2de5c368f260dda	Q9FG87	3-ketoacyl-CoA synthase 20	0.9920318725099602					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9920318725099602	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	3-ketoacyl-CoA synthase 20	FAMILY_LEVEL_FUNCTION	False
LITCHI015464	LITCHI015464.m1	526	4dce5a4a38e0f54d5191c244fbaa37fd								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI015702	LITCHI015702.m1	301	00a725969346a17abf3f2fefd72c1698	F4J469	Protein TIC 22-like, chloroplastic	1.06312292358804					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.06312292358804	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Protein TIC 22-like, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI015740	LITCHI015740.m1	101	ea49e5ab102d4dcecc72fdfbed325301	Q8W453	Putative lipid-transfer protein DIR1	0.8613861386138614	Q8GVT9	0.752			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8613861386138614	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Putative lipid-transfer protein DIR1	FAMILY_LEVEL_FUNCTION	False
LITCHI015950	LITCHI015950.m1	614	3ce266c3eebc76a887f90a59935e7b76	Q9LUW5	DEAD-box ATP-dependent RNA helicase 53, mitochondrial	0.747557003257329	Q0D8N0	0.721			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.747557003257329	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	DEAD-box ATP-dependent RNA helicase 53, mitochondrial	FAMILY_LEVEL_FUNCTION	False
LITCHI015982	LITCHI015982.m1	380	1fe94b779df378c4871e04d359c79f65	Q9M0B8	WAT1-related protein At4g30420	0.9078947368421053	A0A0P0XLX3	0.853			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9078947368421053	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	WAT1-related protein At4g30420	FAMILY_LEVEL_FUNCTION	False
LITCHI016077	LITCHI016077.m1	471	06a1dd9d83078343ff763fcbfd2b1486	Q9M099	Serine carboxypeptidase 24	0.9532908704883227	Q6K673	0.913			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9532908704883227	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Serine carboxypeptidase 24	FAMILY_LEVEL_FUNCTION	False
LITCHI016297	LITCHI016297.m1	364	901959e052866cc8ca656e125d818fa1	O04249	Sugar transport protein 7	1.0054945054945055					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0054945054945055	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Sugar transport protein 7	FAMILY_LEVEL_FUNCTION	False
LITCHI016340	LITCHI016340.m1	195	3a1ac93649233025e97e5f806912f1dc	Q40374	Pathogenesis-related protein PR-1	0.7076923076923077	Q0DWY7	0.805			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.805	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pathogenesis-related protein PR-1	FAMILY_LEVEL_FUNCTION	False
LITCHI016395	LITCHI016395.m1	810	04607334ae68e47b6c861def40f88be6	Q7ZVR1	WD repeat-containing protein 75	1.0209876543209877	Q2QMC2	1.0			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0209876543209877	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	WD repeat-containing protein 75	FAMILY_LEVEL_FUNCTION	False
LITCHI016580	LITCHI016580.m1	189	ed0664935218ed3ac3d233e7fd1a8d8c	Q8L9S3	Glutaredoxin-C6	0.7936507936507936					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7936507936507936	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Glutaredoxin-C6	FAMILY_LEVEL_FUNCTION	False
LITCHI016665	LITCHI016665.m1	376	4724ce1480f965a1c9048814e264b0b2	Q9MAT5	Protein arginine N-methyltransferase PRMT10	0.9521276595744681	Q9SNQ2	1.0			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Protein arginine N-methyltransferase PRMT10	FAMILY_LEVEL_FUNCTION	False
LITCHI016846	LITCHI016846.m1	437	a9501835791458a7281525842a393f7e	Q8S9J6	Aspartyl protease family protein At5g10770	1.070938215102975					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.070938215102975	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Aspartyl protease family protein At5g10770	FAMILY_LEVEL_FUNCTION	False
LITCHI016911	LITCHI016911.m1	482	5263bf1b6d577dbd68d520b66ad144e5								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI016917	LITCHI016917.m1	325	aba78eab52953f9d2e6265d9c64678b4	Q39262	Zinc finger protein 3	0.7692307692307693					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7692307692307693	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Zinc finger protein 3	FAMILY_LEVEL_FUNCTION	False
LITCHI016983	LITCHI016983.m1	662	ef25a6ede6ad659d9a695f6195e6497d	Q8LF20	Putative clathrin assembly protein At2g25430	1.0060422960725075	Q10NB4	0.929			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0060422960725075	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Putative clathrin assembly protein At2g25430	FAMILY_LEVEL_FUNCTION	False
LITCHI016994	LITCHI016994.m1	645	78907ed9cde255b554c370181003987d	Q9SKK0	EIN3-binding F-box protein 1	1.0015503875968992					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0015503875968992	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	EIN3-binding F-box protein 1	FAMILY_LEVEL_FUNCTION	False
LITCHI017301	LITCHI017301.m3	915	b9decde93bcea6765fec4641174cdb79	A0A3Q7HJG4	Cuscuta receptor 1	0.8349726775956284					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8349726775956284	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Cuscuta receptor 1	FAMILY_LEVEL_FUNCTION	False
LITCHI017310	LITCHI017310.m1	197	d406fa93c5b80195a034268da284a5e7								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI017559	LITCHI017559.m1	107	ae76a2e5ba9b153380ccbd92de39251b								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI017561	LITCHI017561.m1	184	282258b8fb31a7674b9b417be061b8ec								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI017634	LITCHI017634.m1	477	69a367b962b7403d66559a7294b29665	Q9ZUN8	Protein HEAT STRESS TOLERANT DWD 1	0.9308176100628931	Q2RAX1	0.925			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9308176100628931	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Protein HEAT STRESS TOLERANT DWD 1	FAMILY_LEVEL_FUNCTION	False
LITCHI017733	LITCHI017733.m1	570	27cb585f250a527ab84cdf409146110b	O94631	rRNA methyltransferase 1, mitochondrial	0.5947368421052631					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.5947368421052631	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	rRNA methyltransferase 1, mitochondrial	UNANNOTATED	False
LITCHI017753	LITCHI017753.m1	160	3aab708aee46488e057df01a4b16227d				Q8S2Q8	0.95			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.95	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	family of Oryza ortholog Q8S2Q8	FAMILY_LEVEL_FUNCTION	False
LITCHI017862	LITCHI017862.m1	466	ee5689525ad146b3ce74ff9c4dd3ccbf	K4CI52	Abscisic acid 8'-hydroxylase CYP707A2	0.9978540772532188	Q05JG2	0.925			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9978540772532188	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Abscisic acid 8'-hydroxylase CYP707A2	FAMILY_LEVEL_FUNCTION	False
LITCHI017954	LITCHI017954.m1	434	159ad39b0e084f29cef4244aadb031e1	Q9FLD7	Beta-glucuronosyltransferase GlcAT14A	1.0299539170506913	Q2QLJ7	0.947			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0299539170506913	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Beta-glucuronosyltransferase GlcAT14A	FAMILY_LEVEL_FUNCTION	False
LITCHI018073	LITCHI018073.m1	169	52d6f6edcac37494d080f48af31837a7	Q94AK6	Senescence associated gene 20	0.6804733727810651	Q5W6N6	0.834			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.834	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Senescence associated gene 20	FAMILY_LEVEL_FUNCTION	False
LITCHI018309	LITCHI018309.m1	165	6e16ed3e748bcd64464ccdb02a83e1fb	Q8VYN9	Universal stress protein PHOS32	1.0					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Universal stress protein PHOS32	FAMILY_LEVEL_FUNCTION	False
LITCHI018384	LITCHI018384.m1	299	b54ba13dcf41b9a0f84b4110c564581e				Q10ND1	1.0			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	family of Oryza ortholog Q10ND1	FAMILY_LEVEL_FUNCTION	False
LITCHI018512	LITCHI018512.m1	662	1378e149512b621be11224b60f37f141	Q9ZUT5	Pentatricopeptide repeat-containing protein At2g37310	0.9924471299093656	Q8H8U1	0.875			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9924471299093656	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At2g37310	FAMILY_LEVEL_FUNCTION	False
LITCHI018722	LITCHI018722.m1	378	e2c7a8b74df28fe8caf001fe50376348	Q6YYX9	Probable 2-oxoglutarate-dependent dioxygenase SLC1	0.8095238095238095	Q6YYX9	0.802			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8095238095238095	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable 2-oxoglutarate-dependent dioxygenase SLC1	FAMILY_LEVEL_FUNCTION	False
LITCHI019041	LITCHI019041.m2	966	39cbba478027b20271b359eef689f4a2	Q8GZ99	Leucine-rich repeat receptor protein kinase HPCA1	0.9968944099378882	Q10LZ2	0.982			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9968944099378882	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Leucine-rich repeat receptor protein kinase HPCA1	FAMILY_LEVEL_FUNCTION	False
LITCHI019076	LITCHI019076.m1	78	19b0f60ea31382fc93228fd4fc2d8bd1								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI019095	LITCHI019095.m4	196	55057da20d1019149906a3c82f475bae	Q9FG36	Thioredoxin-like 3-1, chloroplastic	0.7704081632653061					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7704081632653061	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Thioredoxin-like 3-1, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI019186	LITCHI019186.m1	853	1418d5491541701af6754976bd3f1e40	Q9LIE7	Pentatricopeptide repeat-containing protein At3g22150, chloroplastic	0.9003516998827668	Q7XSS0	0.89			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9003516998827668	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At3g22150, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI019319	LITCHI019319.m1	963	28b609501b2901ef6550a8e016707d3b	Q8VWF8	DNA-directed RNA polymerase 2, chloroplastic/mitochondrial	1.0290758047767394	Q6K326	0.808			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0290758047767394	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	DNA-directed RNA polymerase 2, chloroplastic/mitochondrial	FAMILY_LEVEL_FUNCTION	False
LITCHI019420	LITCHI019420.m1	790	339f80e472f546c5359de74aa2c168ad	Q9FLZ9	Pentatricopeptide repeat-containing protein At5g39350	0.8240506329113924	Q6EUH6	0.803			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8240506329113924	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Pentatricopeptide repeat-containing protein At5g39350	FAMILY_LEVEL_FUNCTION	False
LITCHI019626	LITCHI019626.m1	953	1ac198c0dcbdb031b366814b150644f0	C0LGD7	Probable LRR receptor-like serine/threonine-protein kinase At1g06840	0.9895068205666316					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9895068205666316	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable LRR receptor-like serine/threonine-protein kinase At1g06840	FAMILY_LEVEL_FUNCTION	False
LITCHI019664	LITCHI019664.m1	667	18109c1d2cf197814f561fd4e0b8c231	Q9ZVI7	Probable galacturonosyltransferase 7	0.9790104947526237	Q10LZ0	0.975			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9790104947526237	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable galacturonosyltransferase 7	FAMILY_LEVEL_FUNCTION	False
LITCHI019822	LITCHI019822.m1	325	b3a16cf4b8b7dc91162167ad1c274171	Q9STT1	U-box domain-containing protein 39	0.8892307692307693	C7IXD3	0.898			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.898	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	U-box domain-containing protein 39	FAMILY_LEVEL_FUNCTION	False
LITCHI019823	LITCHI019823.m1	327	c6fa2b6fb6017255837897ada692a393				Q653S1	0.826			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.826	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	family of Oryza ortholog Q653S1	FAMILY_LEVEL_FUNCTION	False
LITCHI019824	LITCHI019824.m1	184	92604187058c58ac246e30fef721b15b	Q6JE38	Thioredoxin-like protein CITRX1, chloroplastic	0.9782608695652174					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9782608695652174	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Thioredoxin-like protein CITRX1, chloroplastic	FAMILY_LEVEL_FUNCTION	False
LITCHI019857	LITCHI019857.m2	643	28b295407a6576f29f2a90f3a3171d5d	Q0WVD6	Probable protein arginine N-methyltransferase 3	0.9253499222395023	A3BMN9	0.908			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9253499222395023	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable protein arginine N-methyltransferase 3	FAMILY_LEVEL_FUNCTION	False
LITCHI019897	LITCHI019897.m2	1076	bcb2a36e7386b5e5b560d0ee34a00275	Q9LET7	Calmodulin-interacting protein 111	0.9591078066914498					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9591078066914498	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Calmodulin-interacting protein 111	FAMILY_LEVEL_FUNCTION	False
LITCHI019913	LITCHI019913.m1	1277	997b5f2390a26b5da75e16969e039706	F4KD38	DNA-directed RNA polymerase III subunit 2	0.6640563821456539					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.6640563821456539	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	DNA-directed RNA polymerase III subunit 2	UNANNOTATED	False
